,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
308,52,embed,local,1,a,nonlocal_subj,number,boys,actor,found,himself,The boys said that the actor found himself . <eos>,The boys said that the actor found himself .,the boys said that the actor found ***mask*** .,4.372775510484261
309,52,embed,local,1,b,nonlocal_subj,number,actors,boy,found,himself,The actors said that the boy found himself . <eos>,The actors said that the boy found himself .,the actors said that the boy found ***mask*** .,5.268287468067355
310,52,embed,nonlocal,0,a,local_subj,number,boy,actors,found,himself,The boy said that the actors found himself . <eos>,The boy said that the actors found himself .,the boy said that the actors found ***mask*** .,9.725824206414218
311,52,embed,nonlocal,0,b,local_subj,number,actor,boys,found,himself,The actor said that the boys found himself . <eos>,The actor said that the boys found himself .,the actor said that the boys found ***mask*** .,9.009238413455495
312,53,embed,local,1,a,none,none,boy,actor,distinguished,himself,The boy said that the actor distinguished himself . <eos>,The boy said that the actor distinguished himself .,the boy said that the actor distinguished ***mask*** .,0.04194003487699782
313,53,embed,local,1,b,none,none,actor,boy,distinguished,himself,The actor said that the boy distinguished himself . <eos>,The actor said that the boy distinguished himself .,the actor said that the boy distinguished ***mask*** .,0.04827747738641544
314,53,embed,local,1,a,nonlocal_subj,number,boys,actor,distinguished,himself,The boys said that the actor distinguished himself . <eos>,The boys said that the actor distinguished himself .,the boys said that the actor distinguished ***mask*** .,0.055516784254587996
315,53,embed,local,1,b,nonlocal_subj,number,actors,boy,distinguished,himself,The actors said that the boy distinguished himself . <eos>,The actors said that the boy distinguished himself .,the actors said that the boy distinguished ***mask*** .,0.06855325338161572
316,53,embed,nonlocal,0,a,local_subj,number,boy,actors,distinguished,himself,The boy said that the actors distinguished himself . <eos>,The boy said that the actors distinguished himself .,the boy said that the actors distinguished ***mask*** .,8.364071691753248
317,53,embed,nonlocal,0,b,local_subj,number,actor,boys,distinguished,himself,The actor said that the boys distinguished himself . <eos>,The actor said that the boys distinguished himself .,the actor said that the boys distinguished ***mask*** .,10.017015996545835
318,54,embed,local,1,a,none,none,boy,actor,taught,himself,The boy said that the actor taught himself . <eos>,The boy said that the actor taught himself .,the boy said that the actor taught ***mask*** .,7.325402756715798
319,54,embed,local,1,b,none,none,actor,boy,taught,himself,The actor said that the boy taught himself . <eos>,The actor said that the boy taught himself .,the actor said that the boy taught ***mask*** .,5.709544460157832
320,54,embed,local,1,a,nonlocal_subj,number,boys,actor,taught,himself,The boys said that the actor taught himself . <eos>,The boys said that the actor taught himself .,the boys said that the actor taught ***mask*** .,6.002108843960298
321,54,embed,local,1,b,nonlocal_subj,number,actors,boy,taught,himself,The actors said that the boy taught himself . <eos>,The actors said that the boy taught himself .,the actors said that the boy taught ***mask*** .,5.526020574780089
322,54,embed,nonlocal,0,a,local_subj,number,boy,actors,taught,himself,The boy said that the actors taught himself . <eos>,The boy said that the actors taught himself .,the boy said that the actors taught ***mask*** .,9.8355625724615
323,54,embed,nonlocal,0,b,local_subj,number,actor,boys,taught,himself,The actor said that the boys taught himself . <eos>,The actor said that the boys taught himself .,the actor said that the boys taught ***mask*** .,6.997352693652219
324,55,embed,local,1,a,none,none,boy,actor,killed,himself,The boy said that the actor killed himself . <eos>,The boy said that the actor killed himself .,the boy said that the actor killed ***mask*** .,1.4009897781211658
325,55,embed,local,1,b,none,none,actor,boy,killed,himself,The actor said that the boy killed himself . <eos>,The actor said that the boy killed himself .,the actor said that the boy killed ***mask*** .,1.4101644123759267
326,55,embed,local,1,a,nonlocal_subj,number,boys,actor,killed,himself,The boys said that the actor killed himself . <eos>,The boys said that the actor killed himself .,the boys said that the actor killed ***mask*** .,0.8150198117670855
327,55,embed,local,1,b,nonlocal_subj,number,actors,boy,killed,himself,The actors said that the boy killed himself . <eos>,The actors said that the boy killed himself .,the actors said that the boy killed ***mask*** .,1.744340194370903
328,55,embed,nonlocal,0,a,local_subj,number,boy,actors,killed,himself,The boy said that the actors killed himself . <eos>,The boy said that the actors killed himself .,the boy said that the actors killed ***mask*** .,5.733667100240804
329,55,embed,nonlocal,0,b,local_subj,number,actor,boys,killed,himself,The actor said that the boys killed himself . <eos>,The actor said that the boys killed himself .,the actor said that the boys killed ***mask*** .,5.1779177121164235
330,56,embed,local,1,a,none,none,boy,actor,called,himself,The boy said that the actor called himself . <eos>,The boy said that the actor called himself .,the boy said that the actor called ***mask*** .,7.290883680012755
331,56,embed,local,1,b,none,none,actor,boy,called,himself,The actor said that the boy called himself . <eos>,The actor said that the boy called himself .,the actor said that the boy called ***mask*** .,6.545311759800256
332,56,embed,local,1,a,nonlocal_subj,number,boys,actor,called,himself,The boys said that the actor called himself . <eos>,The boys said that the actor called himself .,the boys said that the actor called ***mask*** .,6.3017532713180655
333,56,embed,local,1,b,nonlocal_subj,number,actors,boy,called,himself,The actors said that the boy called himself . <eos>,The actors said that the boy called himself .,the actors said that the boy called ***mask*** .,6.316391624913554
334,56,embed,nonlocal,0,a,local_subj,number,boy,actors,called,himself,The boy said that the actors called himself . <eos>,The boy said that the actors called himself .,the boy said that the actors called ***mask*** .,9.90698162029796
335,56,embed,nonlocal,0,b,local_subj,number,actor,boys,called,himself,The actor said that the boys called himself . <eos>,The actor said that the boys called himself .,the actor said that the boys called ***mask*** .,9.748278654016815
336,57,embed,local,1,a,none,none,boy,actor,dedicated,himself,The boy said that the actor dedicated himself . <eos>,The boy said that the actor dedicated himself .,the boy said that the actor dedicated ***mask*** .,0.10896709246660193
337,57,embed,local,1,b,none,none,actor,boy,dedicated,himself,The actor said that the boy dedicated himself . <eos>,The actor said that the boy dedicated himself .,the actor said that the boy dedicated ***mask*** .,0.11792774278322288
338,57,embed,local,1,a,nonlocal_subj,number,boys,actor,dedicated,himself,The boys said that the actor dedicated himself . <eos>,The boys said that the actor dedicated himself .,the boys said that the actor dedicated ***mask*** .,0.10664374822739046
339,57,embed,local,1,b,nonlocal_subj,number,actors,boy,dedicated,himself,The actors said that the boy dedicated himself . <eos>,The actors said that the boy dedicated himself .,the actors said that the boy dedicated ***mask*** .,0.13617849873877255
340,57,embed,nonlocal,0,a,local_subj,number,boy,actors,dedicated,himself,The boy said that the actors dedicated himself . <eos>,The boy said that the actors dedicated himself .,the boy said that the actors dedicated ***mask*** .,8.951639019552823
341,57,embed,nonlocal,0,b,local_subj,number,actor,boys,dedicated,himself,The actor said that the boys dedicated himself . <eos>,The actor said that the boys dedicated himself .,the actor said that the boys dedicated ***mask*** .,10.431781175336488
342,58,embed,local,1,a,none,none,boy,actor,declared,himself,The boy said that the actor declared himself . <eos>,The boy said that the actor declared himself .,the boy said that the actor declared ***mask*** .,3.8339238255441463
343,58,embed,local,1,b,none,none,actor,boy,declared,himself,The actor said that the boy declared himself . <eos>,The actor said that the boy declared himself .,the actor said that the boy declared ***mask*** .,2.5616722243076206
344,58,embed,local,1,a,nonlocal_subj,number,boys,actor,declared,himself,The boys said that the actor declared himself . <eos>,The boys said that the actor declared himself .,the boys said that the actor declared ***mask*** .,3.557060426151767
345,58,embed,local,1,b,nonlocal_subj,number,actors,boy,declared,himself,The actors said that the boy declared himself . <eos>,The actors said that the boy declared himself .,the actors said that the boy declared ***mask*** .,2.69209686686898
346,58,embed,nonlocal,0,a,local_subj,number,boy,actors,declared,himself,The boy said that the actors declared himself . <eos>,The boy said that the actors declared himself .,the boy said that the actors declared ***mask*** .,8.254193060932304
347,58,embed,nonlocal,0,b,local_subj,number,actor,boys,declared,himself,The actor said that the boys declared himself . <eos>,The actor said that the boys declared himself .,the actor said that the boys declared ***mask*** .,8.672833342506081
348,59,embed,local,1,a,none,none,boy,actor,proved,himself,The boy said that the actor proved himself . <eos>,The boy said that the actor proved himself .,the boy said that the actor proved ***mask*** .,2.5803211117572706
349,59,embed,local,1,b,none,none,actor,boy,proved,himself,The actor said that the boy proved himself . <eos>,The actor said that the boy proved himself .,the actor said that the boy proved ***mask*** .,2.8490181569449406
350,59,embed,local,1,a,nonlocal_subj,number,boys,actor,proved,himself,The boys said that the actor proved himself . <eos>,The boys said that the actor proved himself .,the boys said that the actor proved ***mask*** .,3.5726555663576387
351,59,embed,local,1,b,nonlocal_subj,number,actors,boy,proved,himself,The actors said that the boy proved himself . <eos>,The actors said that the boy proved himself .,the actors said that the boy proved ***mask*** .,4.1303444112532794
352,59,embed,nonlocal,0,a,local_subj,number,boy,actors,proved,himself,The boy said that the actors proved himself . <eos>,The boy said that the actors proved himself .,the boy said that the actors proved ***mask*** .,7.1248715262180395
353,59,embed,nonlocal,0,b,local_subj,number,actor,boys,proved,himself,The actor said that the boys proved himself . <eos>,The actor said that the boys proved himself .,the actor said that the boys proved ***mask*** .,6.650869981454255
354,60,embed,local,1,a,none,none,boy,actor,shot,himself,The boy said that the actor shot himself . <eos>,The boy said that the actor shot himself .,the boy said that the actor shot ***mask*** .,2.1206538269538773
355,60,embed,local,1,b,none,none,actor,boy,shot,himself,The actor said that the boy shot himself . <eos>,The actor said that the boy shot himself .,the actor said that the boy shot ***mask*** .,2.781277881663225
356,60,embed,local,1,a,nonlocal_subj,number,boys,actor,shot,himself,The boys said that the actor shot himself . <eos>,The boys said that the actor shot himself .,the boys said that the actor shot ***mask*** .,1.4894552925061373
357,60,embed,local,1,b,nonlocal_subj,number,actors,boy,shot,himself,The actors said that the boy shot himself . <eos>,The actors said that the boy shot himself .,the actors said that the boy shot ***mask*** .,2.212584216501709
358,60,embed,nonlocal,0,a,local_subj,number,boy,actors,shot,himself,The boy said that the actors shot himself . <eos>,The boy said that the actors shot himself .,the boy said that the actors shot ***mask*** .,6.035922087516206
359,60,embed,nonlocal,0,b,local_subj,number,actor,boys,shot,himself,The actor said that the boys shot himself . <eos>,The actor said that the boys shot himself .,the actor said that the boys shot ***mask*** .,6.6870597269571945
360,61,embed,local,1,a,none,none,boy,husband,saw,himself,The boy said that the husband saw himself . <eos>,The boy said that the husband saw himself .,the boy said that the husband saw ***mask*** .,11.431206773794074
361,61,embed,local,1,b,none,none,husband,boy,saw,himself,The husband said that the boy saw himself . <eos>,The husband said that the boy saw himself .,the husband said that the boy saw ***mask*** .,10.122273271328682
362,61,embed,local,1,a,nonlocal_subj,number,boys,husband,saw,himself,The boys said that the husband saw himself . <eos>,The boys said that the husband saw himself .,the boys said that the husband saw ***mask*** .,11.501580240175585
363,61,embed,local,1,b,nonlocal_subj,number,husbands,boy,saw,himself,The husbands said that the boy saw himself . <eos>,The husbands said that the boy saw himself .,the husbands said that the boy saw ***mask*** .,8.693650664711267
364,61,embed,nonlocal,0,a,local_subj,number,boy,husbands,saw,himself,The boy said that the husbands saw himself . <eos>,The boy said that the husbands saw himself .,the boy said that the husbands saw ***mask*** .,12.15739491394576
365,61,embed,nonlocal,0,b,local_subj,number,husband,boys,saw,himself,The husband said that the boys saw himself . <eos>,The husband said that the boys saw himself .,the husband said that the boys saw ***mask*** .,13.982733490503213
366,62,embed,local,1,a,none,none,boy,husband,established,himself,The boy said that the husband established himself . <eos>,The boy said that the husband established himself .,the boy said that the husband established ***mask*** .,2.1383364955673367
367,62,embed,local,1,b,none,none,husband,boy,established,himself,The husband said that the boy established himself . <eos>,The husband said that the boy established himself .,the husband said that the boy established ***mask*** .,0.5693777288889187
368,62,embed,local,1,a,nonlocal_subj,number,boys,husband,established,himself,The boys said that the husband established himself . <eos>,The boys said that the husband established himself .,the boys said that the husband established ***mask*** .,1.6748389542939583
369,62,embed,local,1,b,nonlocal_subj,number,husbands,boy,established,himself,The husbands said that the boy established himself . <eos>,The husbands said that the boy established himself .,the husbands said that the boy established ***mask*** .,0.26534381327025436
370,62,embed,nonlocal,0,a,local_subj,number,boy,husbands,established,himself,The boy said that the husbands established himself . <eos>,The boy said that the husbands established himself .,the boy said that the husbands established ***mask*** .,6.640575489473052
371,62,embed,nonlocal,0,b,local_subj,number,husband,boys,established,himself,The husband said that the boys established himself . <eos>,The husband said that the boys established himself .,the husband said that the boys established ***mask*** .,7.574625798294728
372,63,embed,local,1,a,none,none,boy,husband,devoted,himself,The boy said that the husband devoted himself . <eos>,The boy said that the husband devoted himself .,the boy said that the husband devoted ***mask*** .,0.7823871704442417
373,63,embed,local,1,b,none,none,husband,boy,devoted,himself,The husband said that the boy devoted himself . <eos>,The husband said that the boy devoted himself .,the husband said that the boy devoted ***mask*** .,0.6284630183998288
374,63,embed,local,1,a,nonlocal_subj,number,boys,husband,devoted,himself,The boys said that the husband devoted himself . <eos>,The boys said that the husband devoted himself .,the boys said that the husband devoted ***mask*** .,0.4524593979384242
375,63,embed,local,1,b,nonlocal_subj,number,husbands,boy,devoted,himself,The husbands said that the boy devoted himself . <eos>,The husbands said that the boy devoted himself .,the husbands said that the boy devoted ***mask*** .,0.23651569111330456
376,63,embed,nonlocal,0,a,local_subj,number,boy,husbands,devoted,himself,The boy said that the husbands devoted himself . <eos>,The boy said that the husbands devoted himself .,the boy said that the husbands devoted ***mask*** .,8.13633113016264
377,63,embed,nonlocal,0,b,local_subj,number,husband,boys,devoted,himself,The husband said that the boys devoted himself . <eos>,The husband said that the boys devoted himself .,the husband said that the boys devoted ***mask*** .,10.561930532465642
378,64,embed,local,1,a,none,none,boy,husband,considered,himself,The boy said that the husband considered himself . <eos>,The boy said that the husband considered himself .,the boy said that the husband considered ***mask*** .,10.307344169093357
379,64,embed,local,1,b,none,none,husband,boy,considered,himself,The husband said that the boy considered himself . <eos>,The husband said that the boy considered himself .,the husband said that the boy considered ***mask*** .,9.042705383941968
380,64,embed,local,1,a,nonlocal_subj,number,boys,husband,considered,himself,The boys said that the husband considered himself . <eos>,The boys said that the husband considered himself .,the boys said that the husband considered ***mask*** .,10.519744144079981
381,64,embed,local,1,b,nonlocal_subj,number,husbands,boy,considered,himself,The husbands said that the boy considered himself . <eos>,The husbands said that the boy considered himself .,the husbands said that the boy considered ***mask*** .,7.539584350877374
382,64,embed,nonlocal,0,a,local_subj,number,boy,husbands,considered,himself,The boy said that the husbands considered himself . <eos>,The boy said that the husbands considered himself .,the boy said that the husbands considered ***mask*** .,11.980772565946518
383,64,embed,nonlocal,0,b,local_subj,number,husband,boys,considered,himself,The husband said that the boys considered himself . <eos>,The husband said that the boys considered himself .,the husband said that the boys considered ***mask*** .,12.36604006802079
384,65,embed,local,1,a,none,none,boy,husband,identified,himself,The boy said that the husband identified himself . <eos>,The boy said that the husband identified himself .,the boy said that the husband identified ***mask*** .,1.1573517579391033
385,65,embed,local,1,b,none,none,husband,boy,identified,himself,The husband said that the boy identified himself . <eos>,The husband said that the boy identified himself .,the husband said that the boy identified ***mask*** .,0.4928142539424221
386,65,embed,local,1,a,nonlocal_subj,number,boys,husband,identified,himself,The boys said that the husband identified himself . <eos>,The boys said that the husband identified himself .,the boys said that the husband identified ***mask*** .,0.7220813806584938
387,65,embed,local,1,b,nonlocal_subj,number,husbands,boy,identified,himself,The husbands said that the boy identified himself . <eos>,The husbands said that the boy identified himself .,the husbands said that the boy identified ***mask*** .,0.26463714218003787
388,65,embed,nonlocal,0,a,local_subj,number,boy,husbands,identified,himself,The boy said that the husbands identified himself . <eos>,The boy said that the husbands identified himself .,the boy said that the husbands identified ***mask*** .,4.991084677667438
389,65,embed,nonlocal,0,b,local_subj,number,husband,boys,identified,himself,The husband said that the boys identified himself . <eos>,The husband said that the boys identified himself .,the husband said that the boys identified ***mask*** .,7.527720680371178
390,66,embed,local,1,a,none,none,boy,husband,made,himself,The boy said that the husband made himself . <eos>,The boy said that the husband made himself .,the boy said that the husband made ***mask*** .,10.335732851767949
391,66,embed,local,1,b,none,none,husband,boy,made,himself,The husband said that the boy made himself . <eos>,The husband said that the boy made himself .,the husband said that the boy made ***mask*** .,10.677760306201872
392,66,embed,local,1,a,nonlocal_subj,number,boys,husband,made,himself,The boys said that the husband made himself . <eos>,The boys said that the husband made himself .,the boys said that the husband made ***mask*** .,10.614274097828462
393,66,embed,local,1,b,nonlocal_subj,number,husbands,boy,made,himself,The husbands said that the boy made himself . <eos>,The husbands said that the boy made himself .,the husbands said that the boy made ***mask*** .,10.010007126668675
394,66,embed,nonlocal,0,a,local_subj,number,boy,husbands,made,himself,The boy said that the husbands made himself . <eos>,The boy said that the husbands made himself .,the boy said that the husbands made ***mask*** .,14.28579515598519
395,66,embed,nonlocal,0,b,local_subj,number,husband,boys,made,himself,The husband said that the boys made himself . <eos>,The husband said that the boys made himself .,the husband said that the boys made ***mask*** .,17.253806259705875
396,67,embed,local,1,a,none,none,boy,husband,found,himself,The boy said that the husband found himself . <eos>,The boy said that the husband found himself .,the boy said that the husband found ***mask*** .,10.44137773167029
397,67,embed,local,1,b,none,none,husband,boy,found,himself,The husband said that the boy found himself . <eos>,The husband said that the boy found himself .,the husband said that the boy found ***mask*** .,7.89778029519889
398,67,embed,local,1,a,nonlocal_subj,number,boys,husband,found,himself,The boys said that the husband found himself . <eos>,The boys said that the husband found himself .,the boys said that the husband found ***mask*** .,9.906058632989943
399,67,embed,local,1,b,nonlocal_subj,number,husbands,boy,found,himself,The husbands said that the boy found himself . <eos>,The husbands said that the boy found himself .,the husbands said that the boy found ***mask*** .,7.011554277858296
400,67,embed,nonlocal,0,a,local_subj,number,boy,husbands,found,himself,The boy said that the husbands found himself . <eos>,The boy said that the husbands found himself .,the boy said that the husbands found ***mask*** .,11.679487535087029
401,67,embed,nonlocal,0,b,local_subj,number,husband,boys,found,himself,The husband said that the boys found himself . <eos>,The husband said that the boys found himself .,the husband said that the boys found ***mask*** .,12.279045003536273
402,68,embed,local,1,a,none,none,boy,husband,distinguished,himself,The boy said that the husband distinguished himself . <eos>,The boy said that the husband distinguished himself .,the boy said that the husband distinguished ***mask*** .,0.12983313576905578
403,68,embed,local,1,b,none,none,husband,boy,distinguished,himself,The husband said that the boy distinguished himself . <eos>,The husband said that the boy distinguished himself .,the husband said that the boy distinguished ***mask*** .,0.11730872634286725
404,68,embed,local,1,a,nonlocal_subj,number,boys,husband,distinguished,himself,The boys said that the husband distinguished himself . <eos>,The boys said that the husband distinguished himself .,the boys said that the husband distinguished ***mask*** .,0.06570110065962953
405,68,embed,local,1,b,nonlocal_subj,number,husbands,boy,distinguished,himself,The husbands said that the boy distinguished himself . <eos>,The husbands said that the boy distinguished himself .,the husbands said that the boy distinguished ***mask*** .,0.046369679020994335
406,68,embed,nonlocal,0,a,local_subj,number,boy,husbands,distinguished,himself,The boy said that the husbands distinguished himself . <eos>,The boy said that the husbands distinguished himself .,the boy said that the husbands distinguished ***mask*** .,6.810432693557899
407,68,embed,nonlocal,0,b,local_subj,number,husband,boys,distinguished,himself,The husband said that the boys distinguished himself . <eos>,The husband said that the boys distinguished himself .,the husband said that the boys distinguished ***mask*** .,11.576126232506128
408,69,embed,local,1,a,none,none,boy,husband,taught,himself,The boy said that the husband taught himself . <eos>,The boy said that the husband taught himself .,the boy said that the husband taught ***mask*** .,8.909731351550267
409,69,embed,local,1,b,none,none,husband,boy,taught,himself,The husband said that the boy taught himself . <eos>,The husband said that the boy taught himself .,the husband said that the boy taught ***mask*** .,5.989596533982313
410,69,embed,local,1,a,nonlocal_subj,number,boys,husband,taught,himself,The boys said that the husband taught himself . <eos>,The boys said that the husband taught himself .,the boys said that the husband taught ***mask*** .,8.963835947748063
411,69,embed,local,1,b,nonlocal_subj,number,husbands,boy,taught,himself,The husbands said that the boy taught himself . <eos>,The husbands said that the boy taught himself .,the husbands said that the boy taught ***mask*** .,6.154398065967937
412,69,embed,nonlocal,0,a,local_subj,number,boy,husbands,taught,himself,The boy said that the husbands taught himself . <eos>,The boy said that the husbands taught himself .,the boy said that the husbands taught ***mask*** .,10.188113041127856
413,69,embed,nonlocal,0,b,local_subj,number,husband,boys,taught,himself,The husband said that the boys taught himself . <eos>,The husband said that the boys taught himself .,the husband said that the boys taught ***mask*** .,7.0671340395170565
414,70,embed,local,1,a,none,none,boy,husband,killed,himself,The boy said that the husband killed himself . <eos>,The boy said that the husband killed himself .,the boy said that the husband killed ***mask*** .,4.907271243426466
415,70,embed,local,1,b,none,none,husband,boy,killed,himself,The husband said that the boy killed himself . <eos>,The husband said that the boy killed himself .,the husband said that the boy killed ***mask*** .,2.730866470549783
416,70,embed,local,1,a,nonlocal_subj,number,boys,husband,killed,himself,The boys said that the husband killed himself . <eos>,The boys said that the husband killed himself .,the boys said that the husband killed ***mask*** .,4.274304236190471
417,70,embed,local,1,b,nonlocal_subj,number,husbands,boy,killed,himself,The husbands said that the boy killed himself . <eos>,The husbands said that the boy killed himself .,the husbands said that the boy killed ***mask*** .,2.066142248081195
418,70,embed,nonlocal,0,a,local_subj,number,boy,husbands,killed,himself,The boy said that the husbands killed himself . <eos>,The boy said that the husbands killed himself .,the boy said that the husbands killed ***mask*** .,7.442660527492688
419,70,embed,nonlocal,0,b,local_subj,number,husband,boys,killed,himself,The husband said that the boys killed himself . <eos>,The husband said that the boys killed himself .,the husband said that the boys killed ***mask*** .,6.605895196353229
420,71,embed,local,1,a,none,none,boy,husband,called,himself,The boy said that the husband called himself . <eos>,The boy said that the husband called himself .,the boy said that the husband called ***mask*** .,8.556892422265335
421,71,embed,local,1,b,none,none,husband,boy,called,himself,The husband said that the boy called himself . <eos>,The husband said that the boy called himself .,the husband said that the boy called ***mask*** .,7.683652445692288
422,71,embed,local,1,a,nonlocal_subj,number,boys,husband,called,himself,The boys said that the husband called himself . <eos>,The boys said that the husband called himself .,the boys said that the husband called ***mask*** .,8.18134020348501
423,71,embed,local,1,b,nonlocal_subj,number,husbands,boy,called,himself,The husbands said that the boy called himself . <eos>,The husbands said that the boy called himself .,the husbands said that the boy called ***mask*** .,6.1781498353372655
424,71,embed,nonlocal,0,a,local_subj,number,boy,husbands,called,himself,The boy said that the husbands called himself . <eos>,The boy said that the husbands called himself .,the boy said that the husbands called ***mask*** .,9.456326912758101
425,71,embed,nonlocal,0,b,local_subj,number,husband,boys,called,himself,The husband said that the boys called himself . <eos>,The husband said that the boys called himself .,the husband said that the boys called ***mask*** .,11.045515586415547
426,72,embed,local,1,a,none,none,boy,husband,dedicated,himself,The boy said that the husband dedicated himself . <eos>,The boy said that the husband dedicated himself .,the boy said that the husband dedicated ***mask*** .,0.609932750389035
427,72,embed,local,1,b,none,none,husband,boy,dedicated,himself,The husband said that the boy dedicated himself . <eos>,The husband said that the boy dedicated himself .,the husband said that the boy dedicated ***mask*** .,0.2952477995256218
428,72,embed,local,1,a,nonlocal_subj,number,boys,husband,dedicated,himself,The boys said that the husband dedicated himself . <eos>,The boys said that the husband dedicated himself .,the boys said that the husband dedicated ***mask*** .,0.18221112172513151
429,72,embed,local,1,b,nonlocal_subj,number,husbands,boy,dedicated,himself,The husbands said that the boy dedicated himself . <eos>,The husbands said that the boy dedicated himself .,the husbands said that the boy dedicated ***mask*** .,0.18740383234132652
430,72,embed,nonlocal,0,a,local_subj,number,boy,husbands,dedicated,himself,The boy said that the husbands dedicated himself . <eos>,The boy said that the husbands dedicated himself .,the boy said that the husbands dedicated ***mask*** .,7.319328212426319
431,72,embed,nonlocal,0,b,local_subj,number,husband,boys,dedicated,himself,The husband said that the boys dedicated himself . <eos>,The husband said that the boys dedicated himself .,the husband said that the boys dedicated ***mask*** .,11.491761161095976
432,73,embed,local,1,a,none,none,boy,husband,declared,himself,The boy said that the husband declared himself . <eos>,The boy said that the husband declared himself .,the boy said that the husband declared ***mask*** .,5.0818560284619005
433,73,embed,local,1,b,none,none,husband,boy,declared,himself,The husband said that the boy declared himself . <eos>,The husband said that the boy declared himself .,the husband said that the boy declared ***mask*** .,3.6624492787840324
434,73,embed,local,1,a,nonlocal_subj,number,boys,husband,declared,himself,The boys said that the husband declared himself . <eos>,The boys said that the husband declared himself .,the boys said that the husband declared ***mask*** .,4.484704405768792
435,73,embed,local,1,b,nonlocal_subj,number,husbands,boy,declared,himself,The husbands said that the boy declared himself . <eos>,The husbands said that the boy declared himself .,the husbands said that the boy declared ***mask*** .,3.200810587288254
436,73,embed,nonlocal,0,a,local_subj,number,boy,husbands,declared,himself,The boy said that the husbands declared himself . <eos>,The boy said that the husbands declared himself .,the boy said that the husbands declared ***mask*** .,10.189064325835576
437,73,embed,nonlocal,0,b,local_subj,number,husband,boys,declared,himself,The husband said that the boys declared himself . <eos>,The husband said that the boys declared himself .,the husband said that the boys declared ***mask*** .,9.849758120387282
438,74,embed,local,1,a,none,none,boy,husband,proved,himself,The boy said that the husband proved himself . <eos>,The boy said that the husband proved himself .,the boy said that the husband proved ***mask*** .,4.425129573110959
439,74,embed,local,1,b,none,none,husband,boy,proved,himself,The husband said that the boy proved himself . <eos>,The husband said that the boy proved himself .,the husband said that the boy proved ***mask*** .,4.306233483956264
440,74,embed,local,1,a,nonlocal_subj,number,boys,husband,proved,himself,The boys said that the husband proved himself . <eos>,The boys said that the husband proved himself .,the boys said that the husband proved ***mask*** .,5.623377638776575
441,74,embed,local,1,b,nonlocal_subj,number,husbands,boy,proved,himself,The husbands said that the boy proved himself . <eos>,The husbands said that the boy proved himself .,the husbands said that the boy proved ***mask*** .,3.5401609338301854
442,74,embed,nonlocal,0,a,local_subj,number,boy,husbands,proved,himself,The boy said that the husbands proved himself . <eos>,The boy said that the husbands proved himself .,the boy said that the husbands proved ***mask*** .,8.16363984750953
443,74,embed,nonlocal,0,b,local_subj,number,husband,boys,proved,himself,The husband said that the boys proved himself . <eos>,The husband said that the boys proved himself .,the husband said that the boys proved ***mask*** .,8.035528509809007
444,75,embed,local,1,a,none,none,boy,husband,shot,himself,The boy said that the husband shot himself . <eos>,The boy said that the husband shot himself .,the boy said that the husband shot ***mask*** .,4.358882390382981
445,75,embed,local,1,b,none,none,husband,boy,shot,himself,The husband said that the boy shot himself . <eos>,The husband said that the boy shot himself .,the husband said that the boy shot ***mask*** .,3.2523456157765307
446,75,embed,local,1,a,nonlocal_subj,number,boys,husband,shot,himself,The boys said that the husband shot himself . <eos>,The boys said that the husband shot himself .,the boys said that the husband shot ***mask*** .,3.9950447564023346
447,75,embed,local,1,b,nonlocal_subj,number,husbands,boy,shot,himself,The husbands said that the boy shot himself . <eos>,The husbands said that the boy shot himself .,the husbands said that the boy shot ***mask*** .,2.2715995795218884
448,75,embed,nonlocal,0,a,local_subj,number,boy,husbands,shot,himself,The boy said that the husbands shot himself . <eos>,The boy said that the husbands shot himself .,the boy said that the husbands shot ***mask*** .,7.381206880303169
449,75,embed,nonlocal,0,b,local_subj,number,husband,boys,shot,himself,The husband said that the boys shot himself . <eos>,The husband said that the boys shot himself .,the husband said that the boys shot ***mask*** .,8.09948674531644
